Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Thu, Jan 26, 2023",7:30p,Chicago Bulls,96,Charlotte Hornets,111,Box Score,,"17,697",Spectrum Center,
"Thu, Jan 26, 2023",8:00p,Cleveland Cavaliers,113,Houston Rockets,95,Box Score,,"16,327",Toyota Center,
"Thu, Jan 26, 2023",10:00p,Dallas Mavericks,99,Phoenix Suns,95,Box Score,,"17,071",Footprint Center,
"Thu, Jan 26, 2023",10:30p,San Antonio Spurs,100,Los Angeles Clippers,138,Box Score,,"16,958",Crypto.com Arena,
"Fri, Jan 27, 2023",7:00p,Milwaukee Bucks,141,Indiana Pacers,131,Box Score,,"16,090",Gainbridge Fieldhouse,
"Fri, Jan 27, 2023",7:30p,Memphis Grizzlies,100,Minnesota Timberwolves,111,Box Score,,"17,136",Target Center,
"Fri, Jan 27, 2023",8:00p,Orlando Magic,105,Miami Heat,110,Box Score,,"19,788",FTX Arena,
"Fri, Jan 27, 2023",8:00p,Cleveland Cavaliers,100,Oklahoma City Thunder,112,Box Score,,"16,236",Paycom Center,
"Fri, Jan 27, 2023",10:00p,Toronto Raptors,117,Golden State Warriors,129,Box Score,,"18,064",Chase Center,
"Sat, Jan 28, 2023",3:00p,Denver Nuggets,119,Philadelphia 76ers,126,Box Score,,"21,255",Wells Fargo Center,
"Sat, Jan 28, 2023",5:30p,New York Knicks,115,Brooklyn Nets,122,Box Score,,"18,100",Barclays Center,
"Sat, Jan 28, 2023",7:00p,Houston Rockets,117,Detroit Pistons,114,Box Score,,"19,411",Little Caesars Arena,
"Sat, Jan 28, 2023",7:00p,Chicago Bulls,128,Orlando Magic,109,Box Score,,"18,846",Amway Center,
"Sat, Jan 28, 2023",7:30p,Los Angeles Clippers,120,Atlanta Hawks,113,Box Score,,"18,448",State Farm Arena,
"Sat, Jan 28, 2023",8:00p,Sacramento Kings,110,Minnesota Timberwolves,117,Box Score,,"17,136",Target Center,
"Sat, Jan 28, 2023",8:00p,Washington Wizards,113,New Orleans Pelicans,103,Box Score,,"17,692",Smoothie King Center,
"Sat, Jan 28, 2023",8:00p,Phoenix Suns,128,San Antonio Spurs,118,Box Score,OT,"18,354",AT&T Center,
"Sat, Jan 28, 2023",8:30p,Los Angeles Lakers,121,Boston Celtics,125,Box Score,OT,"19,156",TD Garden,
"Sat, Jan 28, 2023",9:00p,Dallas Mavericks,100,Utah Jazz,108,Box Score,,"18,206",Vivint Arena,
"Sat, Jan 28, 2023",10:00p,Toronto Raptors,123,Portland Trail Blazers,105,Box Score,,"19,393",Moda Center,
"Sun, Jan 29, 2023",1:00p,Miami Heat,117,Charlotte Hornets,122,Box Score,,"19,254",Spectrum Center,
"Sun, Jan 29, 2023",6:00p,Indiana Pacers,100,Memphis Grizzlies,112,Box Score,,"17,794",FedEx Forum,
"Sun, Jan 29, 2023",7:00p,Los Angeles Clippers,99,Cleveland Cavaliers,122,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Sun, Jan 29, 2023",8:00p,New Orleans Pelicans,110,Milwaukee Bucks,135,Box Score,,"17,341",Fiserv Forum,
"Mon, Jan 30, 2023",7:00p,Orlando Magic,119,Philadelphia 76ers,109,Box Score,,"19,812",Wells Fargo Center,
"Mon, Jan 30, 2023",7:30p,Los Angeles Lakers,104,Brooklyn Nets,121,Box Score,,"17,924",Barclays Center,
"Mon, Jan 30, 2023",8:00p,Sacramento Kings,118,Minnesota Timberwolves,111,Box Score,OT,"15,342",Target Center,
"Mon, Jan 30, 2023",8:00p,Golden State Warriors,128,Oklahoma City Thunder,120,Box Score,,"16,854",Paycom Center,
"Mon, Jan 30, 2023",8:00p,Washington Wizards,127,San Antonio Spurs,106,Box Score,,"11,970",AT&T Center,
"Mon, Jan 30, 2023",8:30p,Detroit Pistons,105,Dallas Mavericks,111,Box Score,,"19,777",American Airlines Center,
"Mon, Jan 30, 2023",9:00p,Toronto Raptors,106,Phoenix Suns,114,Box Score,,"17,071",Footprint Center,
